ACC=0.248523, f1_macro=0.224640, precision_macro=0.240140, recall_macro=0.244886, f1_micro=0.248523, precision_micro=0.248523, recall_micro=0.248523, NMI=0.060036, ADJ_RAND_SCORE=0.026514
ACC=0.260709, f1_macro=0.225035, precision_macro=0.229381, recall_macro=0.242255, f1_micro=0.260709, precision_micro=0.260709, recall_micro=0.260709, NMI=0.069857, ADJ_RAND_SCORE=0.040833
ACC=0.226736, f1_macro=0.199347, precision_macro=0.228826, recall_macro=0.208772, f1_micro=0.226736, precision_micro=0.226736, recall_micro=0.226736, NMI=0.050982, ADJ_RAND_SCORE=0.030046
ACC=0.262925, f1_macro=0.218496, precision_macro=0.225316, recall_macro=0.224060, f1_micro=0.262925, precision_micro=0.262925, recall_micro=0.262925, NMI=0.062592, ADJ_RAND_SCORE=0.037271
ACC=0.248892, f1_macro=0.226229, precision_macro=0.248437, recall_macro=0.235845, f1_micro=0.248892, precision_micro=0.248892, recall_micro=0.248892, NMI=0.059014, ADJ_RAND_SCORE=0.034021
ACC=0.249261, f1_macro=0.223813, precision_macro=0.244956, recall_macro=0.227523, f1_micro=0.249261, precision_micro=0.249261, recall_micro=0.249261, NMI=0.059627, ADJ_RAND_SCORE=0.035633
ACC=0.298744, f1_macro=0.269749, precision_macro=0.282736, recall_macro=0.276042, f1_micro=0.298744, precision_micro=0.298744, recall_micro=0.298744, NMI=0.101588, ADJ_RAND_SCORE=0.062552
ACC=0.331241, f1_macro=0.317009, precision_macro=0.343550, recall_macro=0.331162, f1_micro=0.331241, precision_micro=0.331241, recall_micro=0.331241, NMI=0.118211, ADJ_RAND_SCORE=0.065965
ACC=0.340842, f1_macro=0.328035, precision_macro=0.343167, recall_macro=0.357330, f1_micro=0.340842, precision_micro=0.340842, recall_micro=0.340842, NMI=0.137491, ADJ_RAND_SCORE=0.082257
ACC=0.366691, f1_macro=0.360806, precision_macro=0.381917, recall_macro=0.398089, f1_micro=0.366691, precision_micro=0.366691, recall_micro=0.366691, NMI=0.175815, ADJ_RAND_SCORE=0.105735
ACC=0.367799, f1_macro=0.335749, precision_macro=0.330075, recall_macro=0.367729, f1_micro=0.367799, precision_micro=0.367799, recall_micro=0.367799, NMI=0.198588, ADJ_RAND_SCORE=0.110325
ACC=0.357090, f1_macro=0.332507, precision_macro=0.336026, recall_macro=0.362003, f1_micro=0.357090, precision_micro=0.357090, recall_micro=0.357090, NMI=0.223217, ADJ_RAND_SCORE=0.123545
